Rainfall, Year, Month, Country, ISO3
11.7908,1901, Jan, Mexico, MEX
34.2592,1901, Feb, Mexico, MEX
6.69704,1901, Mar, Mexico, MEX
11.4709,1901, Apr, Mexico, MEX
24.4775,1901, May, Mexico, MEX
64.7816,1901, Jun, Mexico, MEX
150.542,1901, Jul, Mexico, MEX
134.635,1901, Aug, Mexico, MEX
136.395,1901, Sep, Mexico, MEX
47.6962,1901, Oct, Mexico, MEX
24.5388,1901, Nov, Mexico, MEX
8.80012,1901, Dec, Mexico, MEX
22.5038,1902, Jan, Mexico, MEX
6.09607,1902, Feb, Mexico, MEX
4.62796,1902, Mar, Mexico, MEX
9.24681,1902, Apr, Mexico, MEX
32.3214,1902, May, Mexico, MEX
75.806,1902, Jun, Mexico, MEX
131.667,1902, Jul, Mexico, MEX
90.7668,1902, Aug, Mexico, MEX
118.416,1902, Sep, Mexico, MEX
64.7864,1902, Oct, Mexico, MEX
26.9084,1902, Nov, Mexico, MEX
32.3553,1902, Dec, Mexico, MEX
21.4599,1903, Jan, Mexico, MEX
19.5343,1903, Feb, Mexico, MEX
18.4715,1903, Mar, Mexico, MEX
12.3215,1903, Apr, Mexico, MEX
22.0758,1903, May, Mexico, MEX
131.748,1903, Jun, Mexico, MEX
94.7304,1903, Jul, Mexico, MEX
144.293,1903, Aug, Mexico, MEX
131.095,1903, Sep, Mexico, MEX
47.9985,1903, Oct, Mexico, MEX
12.0927,1903, Nov, Mexico, MEX
8.70131,1903, Dec, Mexico, MEX
6.58713,1904, Jan, Mexico, MEX
7.81254,1904, Feb, Mexico, MEX
14.6309,1904, Mar, Mexico, MEX
21.8934,1904, Apr, Mexico, MEX
64.594,1904, May, Mexico, MEX
93.9635,1904, Jun, Mexico, MEX
127.422,1904, Jul, Mexico, MEX
104.888,1904, Aug, Mexico, MEX
120.645,1904, Sep, Mexico, MEX
87.818,1904, Oct, Mexico, MEX
40.0042,1904, Nov, Mexico, MEX
32.8125,1904, Dec, Mexico, MEX
23.5117,1905, Jan, Mexico, MEX
38.5286,1905, Feb, Mexico, MEX
26.6979,1905, Mar, Mexico, MEX
16.3015,1905, Apr, Mexico, MEX
26.7693,1905, May, Mexico, MEX
113.442,1905, Jun, Mexico, MEX
113.421,1905, Jul, Mexico, MEX
122.927,1905, Aug, Mexico, MEX
139.977,1905, Sep, Mexico, MEX
45.068,1905, Oct, Mexico, MEX
50.2613,1905, Nov, Mexico, MEX
63.8942,1905, Dec, Mexico, MEX
19.6733,1906, Jan, Mexico, MEX
38.0102,1906, Feb, Mexico, MEX
22.1814,1906, Mar, Mexico, MEX
24.2093,1906, Apr, Mexico, MEX
26.0159,1906, May, Mexico, MEX
55.8986,1906, Jun, Mexico, MEX
124.775,1906, Jul, Mexico, MEX
154.2,1906, Aug, Mexico, MEX
137.766,1906, Sep, Mexico, MEX
70.2243,1906, Oct, Mexico, MEX
42.752,1906, Nov, Mexico, MEX
29.5378,1906, Dec, Mexico, MEX
18.1351,1907, Jan, Mexico, MEX
17.2863,1907, Feb, Mexico, MEX
3.7165,1907, Mar, Mexico, MEX
14.8125,1907, Apr, Mexico, MEX
49.5049,1907, May, Mexico, MEX
66.5706,1907, Jun, Mexico, MEX
124.166,1907, Jul, Mexico, MEX
135.392,1907, Aug, Mexico, MEX
88.2836,1907, Sep, Mexico, MEX
85.5327,1907, Oct, Mexico, MEX
61.933,1907, Nov, Mexico, MEX
22.6203,1907, Dec, Mexico, MEX
16.5544,1908, Jan, Mexico, MEX
20.3734,1908, Feb, Mexico, MEX
8.38866,1908, Mar, Mexico, MEX
23.6529,1908, Apr, Mexico, MEX
51.193,1908, May, Mexico, MEX
70.1688,1908, Jun, Mexico, MEX
145.658,1908, Jul, Mexico, MEX
