Temperature, Year, Month, Country, ISO3
15.5146,1901, Jan, Mexico, MEX
15.3109,1901, Feb, Mexico, MEX
17.8516,1901, Mar, Mexico, MEX
19.6372,1901, Apr, Mexico, MEX
22.5504,1901, May, Mexico, MEX
24.0767,1901, Jun, Mexico, MEX
24.4898,1901, Jul, Mexico, MEX
24.5305,1901, Aug, Mexico, MEX
23.2971,1901, Sep, Mexico, MEX
21.4779,1901, Oct, Mexico, MEX
18.1392,1901, Nov, Mexico, MEX
14.3993,1901, Dec, Mexico, MEX
14.3253,1902, Jan, Mexico, MEX
15.1868,1902, Feb, Mexico, MEX
17.9136,1902, Mar, Mexico, MEX
21.8998,1902, Apr, Mexico, MEX
24.0894,1902, May, Mexico, MEX
25.5225,1902, Jun, Mexico, MEX
24.2573,1902, Jul, Mexico, MEX
24.5321,1902, Aug, Mexico, MEX
23.5101,1902, Sep, Mexico, MEX
21.1963,1902, Oct, Mexico, MEX
18.4311,1902, Nov, Mexico, MEX
15.2751,1902, Dec, Mexico, MEX
14.5826,1903, Jan, Mexico, MEX
14.6,1903, Feb, Mexico, MEX
17.0607,1903, Mar, Mexico, MEX
20.3622,1903, Apr, Mexico, MEX
22.0811,1903, May, Mexico, MEX
23.2944,1903, Jun, Mexico, MEX
24.3727,1903, Jul, Mexico, MEX
24.1827,1903, Aug, Mexico, MEX
22.6932,1903, Sep, Mexico, MEX
19.7466,1903, Oct, Mexico, MEX
17.2616,1903, Nov, Mexico, MEX
14.4167,1903, Dec, Mexico, MEX
13.736,1904, Jan, Mexico, MEX
17.2363,1904, Feb, Mexico, MEX
20.1314,1904, Mar, Mexico, MEX
21.3398,1904, Apr, Mexico, MEX
22.529,1904, May, Mexico, MEX
24.3545,1904, Jun, Mexico, MEX
23.6335,1904, Jul, Mexico, MEX
23.6111,1904, Aug, Mexico, MEX
22.7977,1904, Sep, Mexico, MEX
20.1757,1904, Oct, Mexico, MEX
16.6537,1904, Nov, Mexico, MEX
15.0281,1904, Dec, Mexico, MEX
14.6511,1905, Jan, Mexico, MEX
13.874,1905, Feb, Mexico, MEX
18.1493,1905, Mar, Mexico, MEX
19.9643,1905, Apr, Mexico, MEX
23.45,1905, May, Mexico, MEX
24.5996,1905, Jun, Mexico, MEX
24.2517,1905, Jul, Mexico, MEX
25.0267,1905, Aug, Mexico, MEX
23.6796,1905, Sep, Mexico, MEX
